,PC1,PC2,ss
302,0.47239977,0.59050417,10
303,0.8593383,-0.54933184,10
304,0.4273544,-1.5355251,10
305,0.63975716,-0.15785366,10
306,-0.37819806,-0.15339315,10
307,-0.038804024,0.32755458,10
308,0.281466,-0.22733217,10
309,-0.8071146,-0.37396544,10
310,0.1352736,-0.9430787,10
311,0.62302387,0.3482936,10
312,-0.0511916,0.36420777,10
313,-0.3809246,0.355979,10
314,0.42858058,-0.55525345,10
315,0.10677488,0.6050746,10
316,0.45562756,-0.40951437,10
317,0.1505007,0.07445705,10
318,1.5676341,-0.7037112,10
319,0.11377561,0.71769047,10
320,0.3290169,0.083379894,10
321,0.70896554,-0.14857072,10
322,-0.5132171,-0.1385358,10
323,0.92863107,-0.2617758,10
324,0.06575668,0.22979254,10
325,-0.5685692,0.45473713,10
326,1.1843199,0.18767163,10
327,-0.4658644,-0.14594823,10
328,0.80908775,-1.1720467,10
329,-0.66213274,0.80006695,10
330,-0.68056726,0.0015037656,10
331,0.34185022,-0.15612847,10
332,-0.1733686,-0.41394413,10
333,1.0588392,0.61059237,10
334,0.23966381,-0.5352859,10
335,-0.056550533,0.8592161,10
336,-0.23777744,0.20872158,10
337,0.2584353,0.041690648,10
338,0.27595407,-0.20431638,10
339,0.24153799,-0.31691188,10
340,-0.5219027,-0.22443372,10
341,-0.1428664,-0.10425061,10
342,0.17687297,0.68220484,10
343,0.09334239,-0.4896955,10
344,0.27273235,0.5224997,10
345,0.98234296,0.20090437,10
346,-0.98445225,0.42116338,10
347,0.13069537,-0.27759922,10
348,0.22175291,-0.16150826,10
349,-0.39632228,-0.32306927,10
350,0.46363574,-0.18890291,10
351,-0.9561703,-0.57774144,10
352,0.36584917,0.89782476,10
353,-0.20503417,0.2895394,10
354,0.22499084,-0.7487883,10
355,0.19541937,0.77169627,10
356,0.012589425,-0.47978252,10
357,-0.13968804,0.9967818,10
358,-0.94457376,0.51611125,10
359,-0.65762043,0.7768676,10
360,0.5030318,-0.47216016,10
361,-0.8431654,-0.070465505,10
362,0.5840044,0.4935612,10
363,-0.2579724,-0.11951655,10
364,-0.18519542,0.9821357,10
365,1.3747702,0.1637589,10
366,-0.10478786,0.09526461,10
367,0.2609339,0.3199163,10
368,-0.07909313,-0.16531861,10
369,0.6765698,-0.40068704,10
370,-0.44462445,0.45611084,10
371,0.72937036,-0.23934525,10
372,0.3049127,-0.1755513,10
373,0.07956104,-0.83212155,10
374,0.67182875,0.25938255,10
375,0.35479343,1.3381503,10
376,1.1506709,0.13891116,10
377,-0.6478803,0.30634063,10
378,0.3251644,-0.8116829,10
379,1.2799093,-0.30433595,10
380,-0.16181257,0.8180025,10
381,0.63182735,-0.37707496,10
382,-0.630797,0.00032263994,10
383,0.9162153,-0.5112191,10
384,0.34139162,-0.3130622,10
385,-0.46236113,0.11183113,10
386,0.6578071,0.5314238,10
387,-0.7208959,0.3700589,10
388,-0.06905913,0.09828609,10
389,0.7295023,-0.7861931,10
390,0.41316414,0.22180301,10
391,-0.5957395,0.8142915,10
392,0.62755036,-0.16571587,10
393,-0.40481833,-0.35410053,10
394,-0.20334455,-0.3131811,10
395,-0.102636546,-0.28128213,10
396,-0.39405456,0.064303756,10
397,-0.2577195,0.028366923,10
398,-0.17017135,0.24282205,10
399,1.1651397,-0.3117587,10
400,-0.9035566,-0.2258299,10
401,0.32419288,0.43490073,10
402,0.23481889,0.08626068,10
403,0.46739733,0.16983739,10
404,0.68897045,0.20499265,10
405,0.58720195,0.25350222,10
406,0.0037669837,-0.41858673,10
407,0.5985955,-1.1314526,10
408,-0.016653419,0.55782974,10
409,-1.1331817,0.588825,10
410,-0.3788807,0.21747386,10
411,0.88079727,-0.06462252,10
412,-0.26924708,-0.8197462,10
413,-0.39805546,0.051745564,10
414,-0.4445192,0.7095407,10
415,-0.1581589,0.3466586,10
416,-0.6126385,0.38061678,10
417,0.33428028,-0.4881763,10
418,0.31160057,0.506217,10
419,-0.62347424,-0.23191166,10
420,-0.52334297,0.10531199,10
421,0.19324961,-0.15316528,10
422,0.79997337,0.075369895,10
423,0.62398213,0.36975485,10
424,0.07628325,0.6212903,10
425,-0.75373363,0.28716958,10
426,-0.3289422,0.064985275,10
427,0.049756348,0.7808379,10
428,-0.44563666,-0.3213184,10
429,-0.31537202,1.1122077,10
430,-1.1932709,-0.008960187,10
431,0.2501735,-0.4957419,10
432,0.278691,-0.05835569,10
433,-0.34655014,-0.012244046,10
434,-0.41889146,0.61522186,10
435,1.0652915,0.45496598,10
436,-0.40610555,0.015488505,10
437,0.28765163,0.5521554,10
438,0.37215978,-1.6210909,10
439,-0.123422086,0.063839644,10
440,0.7626906,-1.2688386,10
441,1.264643,-0.23485774,10
442,-0.062054813,-1.0581408,10
443,-0.16311756,-0.30796903,10
444,0.050833315,0.02629751,10
445,0.61957467,0.25110102,10
446,1.1915314,0.15926966,10
447,-0.46554038,0.066271245,10
448,0.8882307,0.1282646,10
449,0.3664201,-0.18428874,10
450,-0.17020074,0.1501118,10
451,0.7557905,-1.2618299,10
452,0.4943742,0.9376552,10
453,0.9602634,0.06634563,10
454,-0.3893136,0.13074079,10
455,0.13004759,0.11010423,10
456,0.4536508,0.09795731,10
457,0.5672883,0.027509272,10
458,-0.3451307,0.7485169,10
459,-0.1012578,0.40827367,10
460,-0.6223278,-0.35348207,10
461,0.11512001,-0.25025278,10
462,-0.071219236,0.072550714,10
463,0.51459825,0.31241614,10
464,0.09847963,0.053596497,10
465,-0.43967906,0.4637664,10
466,0.07592721,-0.57835025,10
467,1.051158,-0.30719894,10
468,-0.3040397,0.63658404,10
469,-0.9716513,0.11767459,10
470,0.7231902,0.3946793,10
471,-0.11287722,-1.1837637,10
472,0.031353742,0.1466484,10
473,0.010353714,-0.2963795,10
474,0.1887448,-0.2554795,10
475,-0.05621627,-0.32566822,10
476,0.0030181706,0.83049405,10
477,0.56640697,0.6494043,10
478,0.08487061,0.27061188,10
479,0.36879689,0.5498849,10
480,0.42200473,0.7998236,10
481,0.33749354,0.32897323,10
482,0.7916039,0.4504137,10
483,-0.31534377,-0.7190952,10
484,-0.456026,0.12563515,10
485,-0.24354771,-0.8820929,10
486,0.10331079,-0.34071547,10
487,0.8408499,-0.021232843,10
488,0.19815916,1.0650735,10
489,-0.33648685,0.3503108,10
490,-0.26923046,-0.40788096,10
491,-0.21836248,0.79300404,10
492,0.45687473,0.9083556,10
493,-0.17936009,-0.13653183,10
494,0.5310899,-0.5714106,10
495,0.8741423,-0.04268849,10
496,-0.92083335,-0.29914027,10
497,-0.1160849,-0.08016521,10
498,-0.26210448,0.24227017,10
499,-0.61481595,-0.22781593,10
500,-0.50825,0.5903113,10
501,0.17307332,0.10456061,10
